EEG Fp1_delta,EEG Fp1_theta,EEG Fp1_alpha,EEG Fp1_beta,EEG Fp1_gamma,EEG Fp2_delta,EEG Fp2_theta,EEG Fp2_alpha,EEG Fp2_beta,EEG Fp2_gamma,EEG F3_delta,EEG F3_theta,EEG F3_alpha,EEG F3_beta,EEG F3_gamma,EEG F4_delta,EEG F4_theta,EEG F4_alpha,EEG F4_beta,EEG F4_gamma,EEG F7_delta,EEG F7_theta,EEG F7_alpha,EEG F7_beta,EEG F7_gamma,EEG F8_delta,EEG F8_theta,EEG F8_alpha,EEG F8_beta,EEG F8_gamma,EEG T3_delta,EEG T3_theta,EEG T3_alpha,EEG T3_beta,EEG T3_gamma,EEG T4_delta,EEG T4_theta,EEG T4_alpha,EEG T4_beta,EEG T4_gamma,EEG C3_delta,EEG C3_theta,EEG C3_alpha,EEG C3_beta,EEG C3_gamma,EEG C4_delta,EEG C4_theta,EEG C4_alpha,EEG C4_beta,EEG C4_gamma,EEG T5_delta,EEG T5_theta,EEG T5_alpha,EEG T5_beta,EEG T5_gamma,EEG T6_delta,EEG T6_theta,EEG T6_alpha,EEG T6_beta,EEG T6_gamma,EEG P3_delta,EEG P3_theta,EEG P3_alpha,EEG P3_beta,EEG P3_gamma,EEG P4_delta,EEG P4_theta,EEG P4_alpha,EEG P4_beta,EEG P4_gamma,EEG O1_delta,EEG O1_theta,EEG O1_alpha,EEG O1_beta,EEG O1_gamma,EEG O2_delta,EEG O2_theta,EEG O2_alpha,EEG O2_beta,EEG O2_gamma,EEG Fz_delta,EEG Fz_theta,EEG Fz_alpha,EEG Fz_beta,EEG Fz_gamma,EEG Cz_delta,EEG Cz_theta,EEG Cz_alpha,EEG Cz_beta,EEG Cz_gamma,EEG Pz_delta,EEG Pz_theta,EEG Pz_alpha,EEG Pz_beta,EEG Pz_gamma,label,Subject
6.436304812178855e-12,1.182453614195539e-11,3.042999304343797e-12,1.889169731482085e-11,2.879950791215781e-12,1.457261084042647e-11,1.435582407862178e-11,3.090982753537752e-12,2.352432441969496e-11,3.933916960565683e-12,1.382760986175047e-11,2.008419334320407e-11,5.444630552293491e-12,3.214733014070847e-11,5.86233204224006e-12,2.046722358202037e-11,2.620146214476723e-11,5.440394424482815e-12,3.370999535838789e-11,5.135607836042806e-12,3.691998529658346e-11,2.612445250457352e-11,8.143400260126956e-12,2.919135467727e-11,7.440549494857956e-12,9.59782688079831e-11,3.097843474314664e-11,6.906768292951318e-12,2.605965747600657e-11,4.421721558696849e-12,2.499339288574741e-11,2.522661747863107e-11,8.653954384310806e-12,3.486898691790057e-11,5.042021842186803e-12,1.107045543587922e-11,1.078199554943133e-11,6.486961860021869e-12,2.436957408135839e-11,4.487917746701567e-12,3.889739034238795e-11,2.329569440606502e-11,6.072831235721225e-12,2.14327676639432e-11,4.36225461119376e-12,9.919174952363533e-12,1.380065579867969e-11,1.147158438927281e-11,2.391677637599532e-11,5.535234966506113e-12,3.024653940483206e-11,1.299683181155133e-11,3.138375566479522e-12,2.203468081262972e-11,4.339009572706267e-12,1.598852071744699e-11,7.184244947259844e-12,8.272622229299735e-12,4.587657041692311e-11,5.564993936845169e-12,4.042915702652973e-11,1.400045886028386e-11,3.744623943106284e-12,2.407737828727198e-11,4.010357589900972e-12,1.743798937989506e-11,1.127628608518338e-11,4.416108820480366e-12,5.412803575883175e-11,5.565492877299417e-12,2.662052531972005e-11,1.220710678359004e-11,3.564665645281975e-12,6.17655602532829e-11,6.341683004743243e-12,1.421389968668158e-11,8.474634311507038e-12,5.650158635291702e-12,1.838074916079704e-10,1.003953016392575e-11,2.328755856850557e-11,2.638586117099026e-11,5.287678322132365e-12,3.353461063909218e-11,5.168367853917218e-12,3.402614664308542e-11,3.684937741176082e-11,1.269125989998435e-11,2.858292509747638e-11,5.850861942362987e-12,2.820973415520031e-11,1.533890805884712e-11,5.721074491772184e-12,2.803902322029756e-11,5.68291604225382e-12,0,Subject00
1.340621730837118e-11,1.23617547293916e-11,5.700937943645068e-12,2.705645146241696e-11,4.293887827489465e-12,3.176397247458629e-11,1.94805709991949e-11,8.761605452026927e-12,3.809808575687187e-11,5.474318231743754e-12,3.054615482924337e-11,1.815866377875885e-11,8.257490965366534e-12,3.892295878085432e-11,8.364384418440722e-12,2.741092895245017e-11,2.75959384868235e-11,9.865632042695237e-12,4.889362513992497e-11,7.478487140473755e-12,1.004300074630647e-10,4.389046089173245e-11,8.906390569196001e-12,2.656538801665377e-11,9.127706255452795e-12,7.858532153815232e-11,2.83885288137083e-11,6.432343514800549e-12,3.981486519012006e-11,8.456879147034871e-12,1.90123342474269e-11,1.754725933701405e-11,8.370897539251394e-12,4.783095002455353e-11,8.289136902698608e-12,1.391040994939143e-11,1.21339136240521e-11,7.44268625590971e-12,2.190402807267005e-11,7.231403589632754e-12,4.53661444271539e-11,2.156171294945491e-11,6.459009182094127e-12,2.218279807656978e-11,8.522754393155586e-12,1.762130673246469e-11,1.643819512943943e-11,1.445682805958739e-11,3.115510705969695e-11,7.420722258789874e-12,2.972681004125555e-11,1.280548546992075e-11,3.507689636022957e-12,3.32454588387341e-11,4.524860855114108e-12,3.092086967990069e-11,7.286613399960268e-12,8.03266035745546e-12,3.011739703212509e-11,8.664343699541919e-12,5.603677746036618e-11,1.085971238266857e-11,7.930502963385275e-12,2.404699401559772e-11,5.341867419592957e-12,5.021518378510742e-11,1.381482735419215e-11,7.486594782396713e-12,3.077000794760732e-11,7.173567987956947e-12,4.002115851113561e-11,7.932892793308608e-12,7.66085731804681e-12,2.435775008077522e-11,7.426037837485435e-12,9.312882495804685e-12,4.47131767163461e-12,6.355093351374189e-12,3.367602813303447e-11,1.043912747124831e-11,2.827496910622221e-11,2.692473493382546e-11,9.710403749280657e-12,4.861640191845368e-11,7.553637667763365e-12,2.676329977535808e-11,3.669643831241335e-11,1.681114183742648e-11,4.567360240860766e-11,7.873255486401509e-12,6.083717957759523e-11,1.381203579571278e-11,8.255084264575531e-12,1.930901991280701e-11,5.847236779974115e-12,0,Subject00
1.84536611595197e-11,1.07378080425782e-11,5.406236695583626e-12,4.848722155100509e-11,7.746098195894742e-12,4.198799869012558e-11,1.67700181095721e-11,9.345010915008473e-12,7.27381231607719e-11,1.093413781904066e-11,2.061167414058848e-11,1.407238840642481e-11,6.352393816474744e-12,6.858389568140338e-11,1.143920851592947e-11,3.995037670905294e-11,1.739106450240553e-11,8.722596489184272e-12,8.78122184694368e-11,1.283212248094458e-11,2.247665301438979e-10,3.420719943362926e-11,6.879025001341949e-12,3.603334659608791e-11,1.082643068483661e-11,4.346556376182351e-11,1.567948191306635e-11,7.83257935501998e-12,6.778635634875244e-11,1.292810716009087e-11,1.886316749345819e-11,1.497602297885537e-11,7.948321563537765e-12,6.613545279325326e-11,1.306651716824274e-11,2.658594552674504e-11,7.029417889836563e-12,4.473830977096363e-12,5.807728056778931e-11,9.759908946817206e-12,2.905099439530522e-11,1.376367484119465e-11,7.801927104879058e-12,5.002707621006466e-11,1.232393207350157e-11,1.667878133424943e-11,7.198517483583289e-12,8.277310917225285e-12,5.851928042744237e-11,1.263367340333314e-11,1.782287399140768e-11,1.10042248777022e-11,8.185344843733531e-12,5.801189835087164e-11,7.861615982728015e-12,4.428065713850572e-11,5.997086603207939e-12,5.231156673542261e-12,9.979660380455272e-11,1.241790532810253e-11,3.551188285316291e-11,1.163192494740274e-11,8.696750033953862e-12,8.012133566975741e-11,1.141767077935562e-11,3.708806585955615e-11,1.363916163274684e-11,5.488479542921655e-12,1.059812778207193e-10,1.347917615029336e-11,3.53416181082798e-11,1.455620469136926e-11,9.591093156296761e-12,1.053318547550391e-10,1.256018740711531e-11,2.777920728232655e-11,1.437686299500233e-11,9.29875655130079e-12,1.883040171790491e-10,1.518791986332505e-11,3.188587443213528e-11,1.662371460313105e-11,8.528674984111043e-12,8.684998089401001e-11,1.268659378694048e-11,2.999257292196973e-11,5.047561323292011e-11,2.537285049231111e-11,7.280485201930247e-11,1.324440605082331e-11,4.389798065825124e-11,1.285227486614818e-11,9.144915260622512e-12,8.093363931288454e-11,1.440396853945584e-11,0,Subject00
2.176089925443575e-11,9.066190870471764e-12,7.97046657231006e-12,5.813862064602985e-11,5.656469870171672e-12,4.197618512129554e-11,9.640279573977003e-12,1.211550596553331e-11,8.147809993544083e-11,8.730565777795825e-12,2.232263515765004e-11,1.87872145534497e-11,1.191928419040934e-11,8.625192499409257e-11,7.813422811131912e-12,2.897745369070604e-11,1.133160691424212e-11,1.310187870325601e-11,1.040623314799955e-10,8.87728474222545e-12,1.106599161094066e-10,3.194807075902928e-11,1.272104945422867e-11,4.541527470436819e-11,7.233241850335319e-12,4.719653475866858e-11,1.022436109535536e-11,1.287416076762642e-11,7.750476758983778e-11,9.6040800647293e-12,2.249768385425931e-11,2.209101750401543e-11,5.433649784568114e-12,7.534482263165153e-11,1.094633553791423e-11,1.436989935606711e-11,1.132271638447547e-11,6.878027737972271e-12,6.774535632648243e-11,9.460938934665199e-12,3.493984518474077e-11,4.898592667246257e-11,1.131504010217203e-11,7.161450850658444e-11,8.038800882689885e-12,1.766265514710922e-11,1.242538145527324e-11,8.803701850438812e-12,7.324902740928454e-11,9.864015563689535e-12,3.018398728916891e-11,1.632857559252405e-11,7.97692087165388e-12,7.829331360940495e-11,6.676348882578326e-12,1.858720312303575e-11,1.13475241228347e-11,5.653166937865193e-12,1.161411404545855e-10,1.423991995663978e-11,2.805787836712639e-11,1.890731727966818e-11,7.507745208072884e-12,1.447103228268099e-10,1.002753931478372e-11,2.775111325268208e-11,1.758316880649841e-11,6.990841573033609e-12,1.479956968504247e-10,1.245827302946365e-11,2.936496340992049e-11,2.003351673631118e-11,6.505614012269968e-12,1.677218368887036e-10,1.277205465866854e-11,3.030962172295583e-11,1.633070886793833e-11,8.448606936566077e-12,2.315704286339959e-10,1.644158564464729e-11,2.159692579848909e-11,1.15533856332023e-11,1.293048243502766e-11,1.033042088971242e-10,8.72297292157171e-12,2.628196809998574e-11,5.761164280209565e-11,3.262458727710388e-11,7.729728290683596e-11,9.147310334121868e-12,2.922549852889611e-11,1.812731726500786e-11,7.506425387423588e-12,1.42690569590624e-10,1.096173590918979e-11,0,Subject00
1.996830516070128e-11,5.768940818995244e-12,4.627794848023237e-12,4.188337341086296e-11,6.251035373596579e-12,3.131714586764253e-11,8.198447052916031e-12,7.21771256434225e-12,5.041154255790592e-11,8.320758483551856e-12,2.334747128159749e-11,8.216059285427622e-12,7.358460252664093e-12,6.812583539374469e-11,9.273959874902441e-12,1.661319758149046e-11,6.803437008243696e-12,6.807014350896934e-12,6.303203027214323e-11,1.155979657057375e-11,1.075576437017944e-10,1.931011617890115e-11,1.141220687525361e-11,4.352195209162807e-11,8.593583000796061e-12,5.106321996966588e-11,1.273028290534363e-11,5.07312024527773e-12,4.794434544293302e-11,1.064970042467079e-11,5.115006548964702e-11,1.663892797671084e-11,4.535400072651036e-12,7.601688870670755e-11,1.124175828866573e-11,1.408407807035273e-11,9.770908928508967e-12,4.381667732920797e-12,5.08921264271273e-11,8.512224073148313e-12,3.630379265912802e-11,1.008735859380301e-11,7.119315880408099e-12,6.264422158738134e-11,1.151994784196529e-11,2.798334576508399e-11,1.50758201667907e-11,5.521420782364744e-12,5.850234474033173e-11,1.228334368211946e-11,1.655843965753661e-11,8.796822737330462e-12,3.325966805223826e-12,6.050511688747755e-11,6.506619989418061e-12,1.318808694856551e-11,1.309805147211494e-11,3.36036135615851e-12,9.282636522433715e-11,1.329982948050452e-11,1.510080114110058e-11,1.271151839017408e-11,3.700667373634383e-12,1.188144263433534e-10,1.064804986157866e-11,2.078256995109033e-11,9.101619168572986e-12,4.200838031863819e-12,1.255767784368325e-10,1.472482679082629e-11,1.655377355698146e-11,7.740666818774975e-12,3.624873860788937e-12,1.121385896313913e-10,1.936673518732347e-11,2.133659257783702e-11,1.293906017081678e-11,6.73240737812579e-12,2.034026281352262e-10,2.109376927800785e-11,1.466510893479052e-11,6.395754677130201e-12,6.624460211153219e-12,6.318074469580324e-11,1.119544995897e-11,1.949021607167861e-11,3.798031460196554e-11,1.954021940279585e-11,6.776972828270985e-11,1.248323224265449e-11,1.375185375448059e-11,9.160916520227267e-12,4.890663180215583e-12,1.230138288073393e-10,1.327325175854571e-11,0,Subject00
2.980432006684009e-11,1.109309341925851e-11,1.07065990145786e-11,4.195694353169418e-11,7.384391212055012e-12,8.353616739418422e-12,8.060705321188392e-12,1.380645337735669e-11,5.315765482449903e-11,8.474070033369225e-12,1.967107624172694e-10,3.665251841346024e-11,1.870668617633934e-11,5.696394029283882e-11,1.287909605745767e-11,2.092629370916408e-11,1.320183535499914e-11,1.934894001461495e-11,6.9305145464951e-11,1.58244766220731e-11,6.66242398206723e-11,2.703462887486531e-11,1.227053765759974e-11,3.526725635122991e-11,1.106017980970906e-11,5.34920449117887e-11,1.632629101586478e-11,2.137154600222751e-11,5.367584922562966e-11,1.195727671006461e-11,5.00240923387063e-11,1.907042032997153e-11,1.226719438249486e-11,7.71522773768114e-11,1.19545794950709e-11,1.657495925404641e-11,1.606107372383262e-11,1.66379216821077e-11,1.329918068778643e-10,1.101849856249793e-11,1.122277788647239e-10,2.369087174786324e-11,9.307098657519284e-12,6.165321139728906e-11,1.428799333168903e-11,1.79716725518579e-11,1.816571510066033e-11,1.973122385128029e-11,1.01356782817369e-10,1.853116082266279e-11,3.109932992793034e-11,1.059396770043908e-11,6.078617293530616e-12,6.727083532447222e-11,7.473581088468631e-12,2.268413652611297e-11,1.781385825453258e-11,1.418553970857702e-11,2.449089595837432e-10,1.163338641244116e-11,1.693513712321199e-11,1.126399119341978e-11,8.106726303962183e-12,1.589872189635296e-10,1.196307976786993e-11,1.281212416841064e-11,1.077565529792395e-11,1.475135188951792e-11,3.188618492477944e-10,1.720411311034362e-11,3.58653082544902e-11,6.720501850422517e-12,6.001700567033651e-12,1.655696543476281e-10,1.327175668380735e-11,1.570522964260155e-11,1.050030912681411e-11,1.491838255366978e-11,4.111325271633458e-10,1.917491979098579e-11,1.785268289905381e-11,1.296369595699995e-11,1.85163635220668e-11,6.888921691306488e-11,1.551195001945223e-11,2.23254476828234e-11,2.378024961079063e-11,1.873076002589972e-11,7.051576938920286e-11,1.808264074642471e-11,1.775133549307579e-11,1.13495739554855e-11,1.288845891205216e-11,2.06852097782313e-10,1.540213186922925e-11,0,Subject00
3.094944907563582e-11,1.312751620969362e-11,1.170515169819548e-11,4.465900675915842e-11,8.44346026967074e-12,2.004459042614867e-11,1.160833982975229e-11,1.352543771276222e-11,6.082703626483448e-11,1.017706662394455e-11,2.056205222905973e-10,3.933395612321383e-11,2.267784956108704e-11,6.322364234007411e-11,1.564569767125363e-11,4.10205025298477e-11,1.988411301798509e-11,2.449996728478006e-11,7.878546831917732e-11,1.642737356863086e-11,5.361663275597573e-11,2.9095223729997e-11,1.661970518023006e-11,4.679860710147905e-11,1.316541902554417e-11,4.351942753687062e-11,1.473806504545396e-11,2.667324592690009e-11,6.434525336911508e-11,1.405667226674007e-11,4.4577438588173e-11,2.255275181045478e-11,2.596680333225595e-11,5.162245783021062e-11,1.331652015429182e-11,4.109217566067058e-11,2.144001000176011e-11,2.902154038508785e-11,1.184270360482485e-10,1.623746561492131e-11,1.178383508996525e-10,2.623295861123422e-11,1.501859845287041e-11,4.832294326209258e-11,1.377136142687819e-11,4.767041666753067e-11,2.470148155110979e-11,3.100293159523902e-11,9.684182687063622e-11,1.990789851066478e-11,2.547475945513201e-11,1.375227750761742e-11,1.146867742038867e-11,6.186159225539653e-11,8.795250671855764e-12,3.37062102738291e-11,1.855076885258452e-11,2.594842133480674e-11,1.816601305659227e-10,1.696131986962116e-11,2.243229105201359e-11,1.606943590536059e-11,1.433422748781791e-11,1.440107817099055e-10,1.146300621781192e-11,2.499698453702181e-11,1.935818304507026e-11,2.439826243239738e-11,2.492697545476798e-10,1.884880555636067e-11,2.600184302881574e-11,1.809408047695749e-11,1.52595612521719e-11,2.074418853752453e-10,1.452789644804411e-11,2.471825416615211e-11,1.602179781448308e-11,3.350808590678838e-11,4.524642358571159e-10,2.334199044407556e-11,7.804383076330262e-11,2.007655558932002e-11,2.352093466554278e-11,7.817649570328133e-11,1.605350587681704e-11,2.126420282905953e-11,4.025308961116652e-11,2.532742197770458e-11,5.631932143489297e-11,1.703598874500652e-11,2.160478246889659e-11,1.32353365937993e-11,2.004595682079702e-11,1.590494141205172e-10,1.436538529961519e-11,0,Subject00
7.350136237374096e-12,7.337378411094608e-12,4.902625703945005e-12,6.065091448094664e-11,8.920673870024381e-12,1.086576797278558e-11,7.864274590258874e-12,5.399623042242504e-12,7.529625613095175e-11,1.083970607427615e-11,1.817937188513151e-11,1.109665432202281e-11,9.771435327910163e-12,9.111583045746014e-11,1.504331068355077e-11,2.88902497662951e-11,1.345412697548593e-11,8.525583508942199e-12,8.150205916817665e-11,1.364685588498763e-11,4.731680231385773e-11,2.268282873442679e-11,1.709032270972543e-11,8.754259631724141e-11,1.574498746758497e-11,5.567954353274532e-11,1.168945147932601e-11,7.070427380972189e-12,6.30286739356689e-11,1.327717941892111e-11,1.026798062702195e-10,3.03802330857081e-11,1.194437896712478e-11,5.156199899810524e-11,1.425199258633541e-11,3.83694538202978e-11,1.541201286916432e-11,9.557203025200957e-12,8.142849838988535e-11,1.328704269728236e-11,1.377007933083879e-11,1.589638214420777e-11,9.953399846255733e-12,7.118047871324156e-11,1.415901583550984e-11,3.676192571529706e-11,1.854844488326669e-11,1.100367249225777e-11,7.322723126158111e-11,1.564552629603996e-11,1.402511132600792e-11,7.654782790742573e-12,6.923010081653187e-12,6.040320520676863e-11,7.852908709949187e-12,3.243632462445e-11,1.969888580658782e-11,1.112047087106962e-11,1.713123872120482e-10,1.417822846910143e-11,9.077140393057531e-12,1.43390157091408e-11,9.783817957693564e-12,8.106294705618424e-11,1.006624180978427e-11,1.055282719862705e-11,1.514872493751933e-11,1.29024394349305e-11,1.58283381834904e-10,1.313255245194953e-11,1.435237908251255e-11,1.937734570029607e-11,1.404635003409318e-11,1.668910454499973e-10,1.336409241635065e-11,8.645450060160265e-12,1.565248780911186e-11,2.083065739119898e-11,4.833494125313329e-10,2.345321601568021e-11,6.795228805272643e-11,1.365340336751949e-11,8.797519602321895e-12,8.235231768453598e-11,1.340835458006455e-11,2.506709219944374e-11,5.004007601922917e-11,2.236806656824497e-11,1.028204323515741e-10,1.676769658287302e-11,9.328601377399722e-12,1.119956279865812e-11,1.257128589609105e-11,6.959917015320026e-11,1.014474421329556e-11,0,Subject00
5.117401260746757e-12,7.291910481797604e-12,5.295569635321992e-12,6.940783385501581e-11,6.740266568442539e-12,8.249009884931014e-12,9.84543662049735e-12,7.188966893071459e-12,8.148317752842162e-11,7.135117703233287e-12,8.343983999841963e-12,1.1556261455331e-11,9.031904794930348e-12,1.057275337482379e-10,1.512209624818257e-11,2.876469208372258e-11,1.293710245920656e-11,1.466978939720469e-11,9.366926333706485e-11,1.0310426946893e-11,4.183650704571183e-11,1.504682871385979e-11,1.193838397710468e-11,9.629578849854544e-11,1.581308271407459e-11,2.58975967630705e-11,1.111017609287186e-11,7.812729371421608e-12,6.600521308018647e-11,9.94017048361989e-12,1.672214358525729e-10,2.305714202748901e-11,1.141070438099369e-11,6.974804019203278e-11,9.967006121629986e-12,2.201597905253086e-11,1.044364437594675e-11,6.693711493850677e-12,4.719977149474779e-11,8.341158019001394e-12,2.278858265633476e-11,1.418341599332066e-11,8.91680086819871e-12,9.659591473288324e-11,1.28490490619728e-11,3.018722625436909e-11,1.686596357957143e-11,1.209817361161034e-11,7.672598703290957e-11,1.202629099021303e-11,3.000477269373289e-11,7.464556977017853e-12,8.957002417271314e-12,7.252063005367472e-11,9.469219347195876e-12,2.541789113243633e-11,1.686727647910971e-11,4.389128026564662e-12,1.100967888752716e-10,9.632070006330988e-12,3.188485893915392e-11,1.775872289847972e-11,1.376817114573314e-11,9.360267288701931e-11,1.390177550504734e-11,1.454197218093163e-11,1.428006305211871e-11,1.398549078940619e-11,1.244876597998757e-10,1.608178740454928e-11,4.08615811625876e-11,3.04135753856312e-11,1.942167679014966e-11,1.917390543942988e-10,2.266619149246446e-11,4.006546601640668e-11,2.977200998443987e-11,1.676622044383338e-11,4.737484827938762e-10,3.706406061765889e-11,2.607772443255424e-11,1.350334641569642e-11,1.43571324561774e-11,9.445804091638445e-11,1.029643096623373e-11,1.844373823216924e-11,3.741457737332369e-11,2.115079172928938e-11,1.260787108603727e-10,1.554627919352388e-11,2.039863912226835e-11,1.706317915735523e-11,1.99007488179894e-11,8.410541657753277e-11,1.477237553991488e-11,0,Subject00
9.337178508948026e-12,6.958505115380842e-12,5.571653366814874e-12,3.62335553217119e-11,4.19746022003664e-12,1.500368880231792e-11,7.604074339207512e-12,7.663392915536995e-12,4.109824168978053e-11,5.642659908710918e-12,1.603740892285833e-11,1.438698855148699e-11,9.395006171521925e-12,6.202362032393752e-11,9.569054992220376e-12,2.513385200115749e-11,1.411482888096637e-11,1.541060160900262e-11,5.814903611108272e-11,8.085906743725218e-12,6.461997321930123e-11,1.864035235859444e-11,1.163519136459608e-11,5.045282234089328e-11,9.747557973872892e-12,2.864485264011984e-11,1.000618269709121e-11,8.534374453497838e-12,3.759402778527358e-11,8.013915137639338e-12,1.048664238355142e-10,1.209526747427492e-11,1.399562950945019e-11,9.013228215370615e-11,7.809463271642419e-12,2.586710933660788e-11,6.320003289027276e-12,6.943100399457931e-12,6.17093630201283e-11,7.193508332519779e-12,1.903157897506275e-11,2.016412918438944e-11,1.076092153598991e-11,8.171297089999676e-11,9.413609417246086e-12,2.747118578304134e-11,1.165554848327295e-11,1.279325740957562e-11,6.750502165782505e-11,9.125166537586438e-12,6.015902134964586e-11,6.01509990771989e-12,1.042111676225687e-11,6.67456202053676e-11,9.673107907736061e-12,3.780987440682842e-11,9.396732235541978e-12,7.56079484184824e-12,9.227781136014802e-11,8.863077980533776e-12,3.509635968329594e-11,1.377751026628602e-11,1.470738084580068e-11,1.014566839319309e-10,1.282150047699892e-11,3.244242390011723e-11,8.724682861373467e-12,1.405440673557659e-11,1.119560555952167e-10,1.347534424276224e-11,3.925492924604288e-11,1.807111345403188e-11,1.810972634037304e-11,1.364902266746804e-10,2.005079633417942e-11,4.586915952467354e-11,1.766596720576069e-11,1.47636709601443e-11,1.493636768042686e-10,2.491095253090068e-11,2.638098284369389e-11,1.479690787720257e-11,1.472358467055031e-11,5.798418445935893e-11,7.95861279285297e-12,3.810482478815873e-11,3.520853692029502e-11,2.211300975355562e-11,7.671111907755943e-11,1.055735162419426e-11,4.362244210229188e-11,1.320223850338472e-11,2.067312784746139e-11,1.064391907865637e-10,1.403033024797839e-11,0,Subject00
